#id, name, elevation, latitude, longitude, active
72, ?, 230.0, 33.39, -114.72, false
73, ?, 560.0, 34.15, -118.32, false
74, ?, 450.0, 33.09, -116.97, false
75, Irvine, 410.0, 33.69, -117.72, true
76, ?, 160.0, 34.92, -120.51, false
77, ?, 190.0, 38.43, -122.41, true
78, ?, 730.0, 34.06, -117.81, true
79, ?, 1720.0, 38.55, -122.42, false
80, Fresno, 339.0, 36.82, -119.74, true
81, ?, 1550.0, 38.52, -120.8, false
82, Claremont, 1620.0, 34.13, -117.7, true
83, Santa Rosa, 80.0, 38.4, -122.8, true
84, Brown`s Valley, 940.0, 39.27, -121.31, true
85, Hopland, 1160.0, 39.01, -123.08, true
86, Lindcove, 480.0, 36.36, -119.06, true
87, Meloland, -50.0, 32.81, -115.45, true
88, Cuyama, 2290.0, 34.93, -119.61, true
89, ?, 120.0, 36.61, -121.53, true
90, Alturas, 4405.0, 41.43, -120.48, true
91, Tulelake FS, 4035.0, 41.96, -121.47, true
92, Kesterson, 75.0, 37.23, -120.88, true
93, ?, 382.0, 35.29, -118.93, false
94, ?, 640.0, 34.47, -119.87, true
95, ?, 100.0, 36.89, -121.81, false
96, ?, 560.0, 37.45, -122.28, false
97, ?, 18.0, 34.17, -119.2, false
98, ?, 1340.0, 33.05, -116.94, false
99, SANTA MONICA, 340.0, 34.04, -118.48, true
100, ?, 40.0, 37.53, -121.97, false
101, Piru, 640.0, 34.38, -118.79, false
102, ?, 17.0, 33.8, -118.09, false
103, Windsor, 85.0, 38.53, -122.83, true
104, ?, 300.0, 37.0, -122.0, true
105, Westlands (Tranquility), 191.0, 36.63, -120.38, true
106, Sanel Valley, 525.0, 38.98, -123.09, true
107, ?, 250.0, 34.44, -119.74, true
108, ?, 245.0, 40.04, -122.16, false
109, Carneros, 5.0, 38.22, -122.35, true
110, ?, 1929.0, 34.84, -116.64, false
111, ?, 110.0, 36.94, -121.77, true
112, ?, 374.0, 36.08, -120.96, false
113, ?, 540.0, 36.12, -121.08, true
114, Arroyo Seco, 235.0, 36.36, -121.29, true
115, ?, 146.0, 36.52, -121.51, false
116, Salinas North, 61.0, 36.72, -121.69, true
117, ?, 2890.0, 34.48, -117.26, true
118, ?, 392.0, 33.84, -116.48, true
119, ?, 180.0, 38.5, -122.0, false
120, ?, 110.0, 34.96, -120.55, false
121, ?, 37.0, 38.42, -121.79, true
122, ?, 10.0, 38.28, -121.79, true
123, ?, 35.0, 38.23, -122.12, true
124,  Panoche, 183.0, 36.89, -120.73, true
125, Arvin-Edison, 500.0, 35.21, -118.78, true
126, ?, 340.0, 36.85, -121.36, true
127, Salton Sea East, -225.0, 33.33, -115.95, true
128, Salton Sea West, -226.0, 33.22, -115.58, true
129, ?, 65.0, 36.9, -121.74, true
130, ?, 1500.0, 33.56, -117.04, false
131, ?, 265.0, 38.65, -121.22, true
132, ?, 385.0, 37.15, -121.64, true
133, ?, 1111.0, 34.2, -118.23, true
134, ?, 2040.0, 34.88, -116.98, true
135, ?, 275.0, 33.56, -114.67, true
136, ?, 12.0, 33.52, -116.15, true
137, ?, 1536.0, 33.56, -117.03, true
138, Famoso, 415.0, 35.6, -119.21, true
139, ?, 136.0, 38.5, -121.97, true
140, Twitchell Island, -1.0, 38.12, -121.66, true
141, ?, -180.0, 33.54, -115.99, true
142,  Orangecove, 450.0, 36.72, -119.39, true
143, San Juan Valley, 245.0, 36.82, -121.47, true
144, ?, 97.0, 38.27, -122.62, true
145, Madera, 230.0, 37.02, -120.19, true
146, ?, 410.0, 35.51, -119.69, true
147, ?, 580.0, 32.63, -116.94, true
148,  Merced, 200.0, 37.31, -120.39, true
149,  Oakland Foothills, 145.0, 37.78, -122.18, true
150, ?, 445.0, 32.89, -117.14, true
151, Ripley, 251.0, 33.53, -114.63, true
152, ?, 130.0, 34.23, -118.99, true
153, ?, 390.0, 33.08, -116.98, true
154, Salton Sea North, -200.0, 33.5, -115.92, false
155, Bryte, 40.0, 38.6, -121.54, true
156, ?, 48.0, 34.23, -119.2, true
157, ?, 5.0, 37.99, -122.47, true
158, ?, 270.0, 38.42, -122.66, true
159, Monrovia, 595.0, 34.15, -117.99, true
160, San Luis Obispo West, 285.0, 35.34, -120.73, true
161, Patterson, 183.0, 37.44, -121.14, true
162, ?, 40.0, 33.75, -116.26, false
163, ?, 885.0, 35.47, -120.65, true
164, ?, 155.0, 38.31, -122.5, false
165, ?, 536.0, 34.84, -120.21, true
166, Lodi West, 25.0, 38.13, -121.38, true
167, ?, 82.0, 37.73, -121.47, true
168, ?, 140.0, 37.56, -120.78, true
169, Porterville, 400.0, 36.08, -119.09, true
170, Concord, 35.0, 38.0, -122.02, true
171, Union City, 16.0, 37.6, -122.05, true
172, ?, 225.0, 35.73, -119.75, false
173, Torrey Pines, 335.0, 32.9, -117.25, true
174, ?, 17.0, 33.8, -118.09, true
175, ?, 230.0, 33.39, -114.73, true
176, La Quinta, 42.0, 33.69, -116.31, false
177, Watsonville West, 212.0, 36.9, -121.81, false
178, ?, 510.0, 37.84, -122.14, true
179, ?, 1626.0, 33.66, -117.09, true
180, ?, -218.0, 33.12, -115.8, false
181, ?, -200.0, 33.08, -115.66, true
182, ?, 300.0, 35.83, -119.26, true
183, ?, 3684.0, 36.49, -117.92, true
184, ?, 377.0, 32.73, -117.14, true
185, ?, 39.0, 32.41, -115.2, false
186, ?, 48.0, 32.49, -114.83, true
187, ?, 1.0, 38.09, -122.53, true
189, ?, 3682.0, 36.36, -117.95, true
190, ?, 270.0, 36.39, -120.24, true
191, ?, 335.0, 37.66, -121.89, true
192, ?, 5148.0, 34.26, -117.22, true
194, ?, 165.0, 37.72, -120.85, true
195, Auburn, 935.0, 38.89, -121.1, true
196, ESPARTO, 174.0, 38.69, -122.14, true
197, Palmdale, 2550.0, 34.62, -118.03, true
198,  Santa Paula, 218.0, 34.33, -119.1, true
199, ?, 6910.0, 34.24, -116.87, true
200,  Indio II, 40.0, 33.75, -116.26, true
201,  UC-Andrade, 120.0, 32.49, -115.04, true
202, Nipomo, 255.0, 35.03, -120.56, true
203, Alpaugh, 210.0, 35.86, -119.5, true
204, ?, 1410.0, 34.43, -118.52, true
