LINESTRING
LINESTRING
15308,11758,-135,-40
15308,11372,-135,-35
15308,10949,-135,-30
15308,10491,-135,-25
15308,10004,-135,-20
15308,9492,-135,-15
15308,8960,-135,-10
15308,8416,-135,-5
15308,7866,-135,0
15308,7315,-135,5
15308,6771,-135,10
15308,6240,-135,15
15308,5728,-135,20
15308,5240,-135,25
15308,4783,-135,30
15308,4359,-135,35
15308,3973,-135,40
15308,3629,-135,45
15308,3327,-135,50
15308,3069,-135,55
15308,2857,-135,60
15308,2691,-135,65
15308,2570,-135,70
LINESTRING
LINESTRING
16170,13224,-115,-75
16462,13144,-115,-70
16751,13019,-115,-65
17036,12850,-115,-60
17314,12635,-115,-55
17581,12375,-115,-50
17836,12072,-115,-45
18074,11727,-115,-40
18293,11343,-115,-35
18490,10921,-115,-30
18662,10466,-115,-25
18807,9982,-115,-20
18922,9475,-115,-15
19005,8949,-115,-10
19056,8410,-115,-5
19073,7866,-115,0
19056,7321,-115,5
19005,6782,-115,10
18922,6256,-115,15
18807,5749,-115,20
18662,5265,-115,25
18490,4810,-115,30
18293,4389,-115,35
18074,4004,-115,40
17836,3659,-115,45
17581,3356,-115,50
17314,3096,-115,55
17036,2882,-115,60
16751,2712,-115,65
16462,2588,-115,70
LINESTRING
LINESTRING
16917,13187,-95,-75
17455,13095,-95,-70
17988,12960,-95,-65
18509,12781,-95,-60
19015,12558,-95,-55
19499,12294,-95,-50
19958,11988,-95,-45
20385,11643,-95,-40
20776,11260,-95,-35
21126,10844,-95,-30
21431,10397,-95,-25
21686,9924,-95,-20
21889,9429,-95,-15
22036,8917,-95,-10
22124,8394,-95,-5
22154,7866,-95,0
22124,7337,-95,5
22036,6814,-95,10
21889,6302,-95,15
21686,5807,-95,20
21431,5334,-95,25
21126,4887,-95,30
20776,4471,-95,35
20385,4089,-95,40
19958,3743,-95,45
19499,3437,-95,50
19015,3173,-95,55
18509,2951,-95,60
17988,2772,-95,65
17455,2636,-95,70
LINESTRING
LINESTRING
18160,13022,-75,-70
18854,12871,-75,-65
19529,12679,-75,-60
20179,12446,-75,-55
20797,12174,-75,-50
21378,11865,-75,-45
21916,11520,-75,-40
22406,11141,-75,-35
22842,10733,-75,-30
23219,10298,-75,-25
23534,9840,-75,-20
23782,9363,-75,-15
23962,8872,-75,-10
24071,8371,-75,-5
24107,7866,-75,0
24071,7360,-75,5
23962,6859,-75,10
23782,6368,-75,15
23534,5891,-75,20
23219,5433,-75,25
22842,4998,-75,30
22406,4590,-75,35
21916,4212,-75,40
21378,3867,-75,45
20797,3557,-75,50
20179,3285,-75,55
19529,3052,-75,60
18854,2860,-75,65
LINESTRING
LINESTRING
23885,10187,-55,-25
24209,9746,-55,-20
24464,9290,-55,-15
24648,8822,-55,-10
24759,8346,-55,-5
24796,7866,-55,0
24759,7385,-55,5
24648,6909,-55,10
24464,6441,-55,15
24209,5985,-55,20
LINESTRING
LINESTRING
14603,13256,-160,-80
14737,13261,-155,-80
14876,13265,-150,-80
15018,13267,-145,-80
15163,13269,-140,-80
15308,13270,-135,-80
15454,13269,-130,-80
15599,13267,-125,-80
